Draw Date,Winning Numbers,Mega Ball,Multiplier,Game Type,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Split 10,Split 11,Split 12,Split 13,Split 14,Split 15,Split 16,Split 17,Split 18,Split 19,Split 20
9/22/23,10 13 14 57 66,03,02,Mega Millions,10,13,14,57,66,,,,,,,,,,,,,,,
9/19/23,06 09 13 29 66,24,02,Mega Millions,6,9,13,29,66,,,,,,,,,,,,,,,
9/15/23,05 13 29 50 53,25,03,Mega Millions,5,13,29,50,53,,,,,,,,,,,,,,,
9/12/23,02 14 21 42 67,18,05,Mega Millions,2,14,21,42,67,,,,,,,,,,,,,,,
9/8/23,03 12 17 51 62,01,03,Mega Millions,3,12,17,51,62,,,,,,,,,,,,,,,
9/5/23,03 43 50 51 65,13,02,Mega Millions,3,43,50,51,65,,,,,,,,,,,,,,,
9/1/23,10 31 42 43 55,08,02,Mega Millions,10,31,42,43,55,,,,,,,,,,,,,,,
8/29/23,09 39 52 61 63,25,03,Mega Millions,9,39,52,61,63,,,,,,,,,,,,,,,
8/25/23,12 23 26 31 38,02,02,Mega Millions,12,23,26,31,38,,,,,,,,,,,,,,,
8/22/23,01 12 26 36 50,07,02,Mega Millions,1,12,26,36,50,,,,,,,,,,,,,,,
8/18/23,10 20 29 44 66,11,03,Mega Millions,10,20,29,44,66,,,,,,,,,,,,,,,
8/15/23,18 39 42 57 63,07,03,Mega Millions,18,39,42,57,63,,,,,,,,,,,,,,,
8/11/23,08 09 18 35 41,18,03,Mega Millions,8,9,18,35,41,,,,,,,,,,,,,,,
8/8/23,13 19 20 32 33,14,02,Mega Millions,13,19,20,32,33,,,,,,,,,,,,,,,
8/4/23,11 30 45 52 56,20,02,Mega Millions,11,30,45,52,56,,,,,,,,,,,,,,,
8/1/23,08 24 30 45 61,12,04,Mega Millions,8,24,30,45,61,,,,,,,,,,,,,,,
7/28/23,05 10 28 52 63,18,05,Mega Millions,5,10,28,52,63,,,,,,,,,,,,,,,
7/25/23,03 05 06 44 61,25,04,Mega Millions,3,5,6,44,61,,,,,,,,,,,,,,,
7/21/23,29 40 47 50 57,25,02,Mega Millions,29,40,47,50,57,,,,,,,,,,,,,,,
7/18/23,19 22 31 37 54,18,04,Mega Millions,19,22,31,37,54,,,,,,,,,,,,,,,
7/14/23,10 24 48 51 66,15,02,Mega Millions,10,24,48,51,66,,,,,,,,,,,,,,,
7/11/23,10 17 33 51 64,05,02,Mega Millions,10,17,33,51,64,,,,,,,,,,,,,,,
7/7/23,08 10 17 55 66,03,03,Mega Millions,8,10,17,55,66,,,,,,,,,,,,,,,
7/4/23,21 33 54 61 67,12,03,Mega Millions,21,33,54,61,67,,,,,,,,,,,,,,,
6/30/23,13 22 47 51 55,09,03,Mega Millions,13,22,47,51,55,,,,,,,,,,,,,,,
6/27/23,08 34 35 41 52,12,04,Mega Millions,8,34,35,41,52,,,,,,,,,,,,,,,
6/23/23,13 62 65 67 69,14,05,Mega Millions,13,62,65,67,69,,,,,,,,,,,,,,,
6/20/23,06 37 39 45 46,21,04,Mega Millions,6,37,39,45,46,,,,,,,,,,,,,,,
6/16/23,04 24 34 45 57,19,03,Mega Millions,4,24,34,45,57,,,,,,,,,,,,,,,
6/13/23,08 10 19 44 47,04,04,Mega Millions,8,10,19,44,47,,,,,,,,,,,,,,,
6/9/23,03 19 53 60 68,13,03,Mega Millions,3,19,53,60,68,,,,,,,,,,,,,,,
6/6/23,06 12 23 29 57,04,02,Mega Millions,6,12,23,29,57,,,,,,,,,,,,,,,
6/2/23,03 16 19 36 60,25,02,Mega Millions,3,16,19,36,60,,,,,,,,,,,,,,,
5/30/23,13 16 40 64 68,21,02,Mega Millions,13,16,40,64,68,,,,,,,,,,,,,,,
5/26/23,12 20 37 41 64,01,03,Mega Millions,12,20,37,41,64,,,,,,,,,,,,,,,
5/23/23,03 10 22 65 66,19,02,Mega Millions,3,10,22,65,66,,,,,,,,,,,,,,,
